	NODE_ID	PARENT_ID	FK_ID	PART	HIERARCHY_ID	parent_part_id
0	14052681	14052678	LP6118-6	Albumin	3	LP15838-3
1	14053735	14053734	LP6118-6	Albumin	3	LP15838-3
2	14061265	14061261	LP6118-6	Albumin	3	LP32805-1
3	14059111	14058999	LP13913-6	Festuca elatior	3	LP31634-6
4	14059177	14058999	LP13916-9	Phleum pratense	3	LP31634-6
5	14059306	14059243	LP13918-5	Acer negundo	3	LP31633-8
6	14059716	14059243	LP13920-1	Ulmus americana	3	LP31633-8
7	14059498	14059243	LP13921-9	Maple	3	LP31633-8
8	14059730	14059243	LP13922-7	Quercus alba	3	LP31633-8
9	14060707	14060547	LP13924-3	(Ambrosia elatior+Artemisia vulgaris+Chenopodium album+Plantago lanceolata+Salsola kali)	3	LP30710-5
10	14060081	14059744	LP13925-0	Chenopodium album	3	LP31635-3
11	14060195	14059744	LP13926-8	Artemisia vulgaris	3	LP31635-3
12	14060022	14059744	LP13927-6	Plantago lanceolata	3	LP31635-3
13	14059973	14059744	LP13928-4	Ambrosia elatior	3	LP31635-3
14	14060368	14059744	LP13929-2	Salsola kali	3	LP31635-3
15	14060581	14060547	LP13930-0	(Hordeum vulgare+Oryza sativa+Secale cereale+Triticum aestivum)	3	LP30710-5
16	14059017	14058999	LP13931-8	Hordeum vulgare	3	LP31634-6
17	14059145	14058999	LP13932-6	Oryza sativa	3	LP31634-6
18	14059151	14058999	LP13933-4	Secale cereale	3	LP31634-6
19	14059210	14058999	LP13934-2	Triticum aestivum	3	LP31634-6
20	14056935	14056934	LP13936-7	Cat dander	3	LP19344-8
21	14056958	14056956	LP13937-5	Cow dander	3	LP28882-6
22	14056993	14056991	LP13938-3	Dog dander	3	LP35750-6
23	14057038	14057037	LP13939-1	Horse dander	3	LP28444-5
24	14057342	14057335	LP13941-7	Egg white	3	LP30698-2
25	14057474	14056930	LP13942-5	Fish	3	LP31627-0
26	14059538	14059243	LP13943-3	Arachis hypogaea	3	LP31633-8
