# curie_map:
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/4ed9c3d9-fcbc-4bda-b356-113f958f61dc
# mapping_tool: https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
# mapping_tool_version: 3.4.1
# similarity_measure: https://www.wikidata.org/wiki/Q1784941
subject_id	predicate_id	object_id	subject_label	object_label	PartTypeName	mapping_justification	similarity_score	subject_dangling	object_dangling	curator_approved
https://loinc.org/LP232817-9	rdfs:subClassOf	https://loinc.org/LP308715-4	AP postural sway score ^eyes open+tandem stance+on solid surface	AP postural sway score^eyes open+tandem stance+on solid surface	COMPONENT	semapv:SemanticSimilarityThresholdMatching	1.0	True	False	
https://loinc.org/LP285052-9	rdfs:subClassOf	https://loinc.org/LP266367-4	Babesia microti Ab.IgG & IgM	Babesia microti Ab.IgG&IgM	COMPONENT	semapv:SemanticSimilarityThresholdMatching	1.0	True	False	
https://loinc.org/LP421300-7	rdfs:subClassOf	https://loinc.org/LP421301-5	N1 amplitude ^light-adapted	N1 amplitude^light-adapted	COMPONENT	semapv:SemanticSimilarityThresholdMatching	1.0	True	False	
https://loinc.org/LP434027-1	rdfs:subClassOf	https://loinc.org/LP34631-9	Phenylalanine +Tyrosine	Phenylalanine+Tyrosine	COMPONENT	semapv:SemanticSimilarityThresholdMatching	1.0	False	True	
https://loinc.org/LP29456-8	rdfs:subClassOf	https://loinc.org/LP29589-6	0.75% sodium chloride 24H 37 deg C incubation	0.55% sodium chloride 24H 37 deg C incubation	COMPONENT	semapv:SemanticSimilarityThresholdMatching	0.99889	True	False	
https://loinc.org/LP29593-8	rdfs:subClassOf	https://loinc.org/LP29589-6	0.35% sodium chloride 24H 37 deg C incubation	0.55% sodium chloride 24H 37 deg C incubation	COMPONENT	semapv:SemanticSimilarityThresholdMatching	0.99888	False	True	
https://loinc.org/LP434012-3	rdfs:subClassOf	https://loinc.org/LP437316-5	Minimum Data Set (MDS) - version 3.0 - Resident Assessment Instrument (RAI) version 1.18.11	Minimum Data Set (MDS) - version 3.0 - Resident Assessment Instrument (RAI) version 1.19.1	COMPONENT	semapv:SemanticSimilarityThresholdMatching	0.99859	True	False	
https://loinc.org/LP265230-5	rdfs:subClassOf	https://loinc.org/LP250907-5	Minimum Data Set (MDS) - version 3.0 - Resident Assessment Instrument (RAI) version 1.15.1	Minimum Data Set (MDS) - version 3.0 - Resident Assessment Instrument (RAI) version 1.14.1	COMPONENT	semapv:SemanticSimilarityThresholdMatching	0.99858	True	False	
https://loinc.org/LP29455-0	rdfs:subClassOf	https://loinc.org/LP29589-6	0.65% sodium chloride 24H 37 deg C incubation	0.55% sodium chloride 24H 37 deg C incubation	COMPONENT	semapv:SemanticSimilarityThresholdMatching	0.99839	True	False	
https://loinc.org/LP268275-7	rdfs:subClassOf	https://loinc.org/LP417447-2	PROMIS parent proxy pain interference - version 2.0 T-score	PROMIS parent proxy pain interference - version 1.0 T-score	COMPONENT	semapv:SemanticSimilarityThresholdMatching	0.99835	True	False	
