ParentPartNumber	ParentPart	ParentPartTypeName	ChildPartNumber	ChildPart	ChildPartName	LoincNumber	LoincFormalName
LP432695-7	{component}	COMPONENT	LP432695-7	{component}	COMPONENT		
LP432695-7	{component}	COMPONENT	LP29693-6	Lab	CLASS		
LP29693-6	Lab	CLASS	LP343406-7	Microbiology and Antimicrobial susceptibility	CLASS		
LP343406-7	Microbiology and Antimicrobial susceptibility	CLASS	LP7819-8	MICRO	CLASS		
LP7819-8	MICRO	CLASS	LP14559-6	Microorganism	COMPONENT		
LP14559-6	Microorganism	COMPONENT	LP14855-8	Virus	COMPONENT		
LP14855-8	Virus	COMPONENT	LP14383-1	Epstein Barr virus	COMPONENT		
LP14383-1	Epstein Barr virus	COMPONENT	LP14392-2	Epstein Barr virus early	COMPONENT		
LP14392-2	Epstein Barr virus early	COMPONENT	LP65876-2	Epstein Barr virus early restricted	COMPONENT		
LP65876-2	Epstein Barr virus early restricted	COMPONENT	LP40410-0	Epstein Barr virus early restricted Ab	COMPONENT	12264-8	Epstein Barr virus early restricted Ab:MCnc:Pt:Body fld:Qn:
LP7819-8	MICRO	CLASS	LP30609-9	Misc	COMPONENT		
LP30609-9	Misc	COMPONENT	LP263640-7	Lipopolysaccharide binding protein	COMPONENT	88054-2	Lipopolysaccharide binding protein:MCnc:Pt:Ser/Plas:Qn:IA
LP29693-6	Lab	CLASS	LP343631-0	Chemistry and Chemistry challenge	CLASS		
LP343631-0	Chemistry and Chemistry challenge	CLASS	LP7786-9	CHEM	CLASS		
LP7786-9	CHEM	CLASS	LP31396-2	Endocrine	COMPONENT		
LP31396-2	Endocrine	COMPONENT	LP31653-6	Adrenal cortex hormones	COMPONENT		
LP31653-6	Adrenal cortex hormones	COMPONENT	LP97520-8	5-Alpha tetrahydrocortisol	COMPONENT	95582-3	5-Alpha tetrahydrocortisol:Zscore:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP97520-8	5-Alpha tetrahydrocortisol	COMPONENT	21044-3	5-Alpha tetrahydrocortisol:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP36793-5	5-Alpha tetrahydro-11-Dehydrocorticosterone	COMPONENT	44862-1	5-Alpha tetrahydro-11-Dehydrocorticosterone/Creatinine:MRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP36795-0	6-Alpha hydroxytetrahydro-11-Dehydrocorticosterone	COMPONENT	44863-9	6-Alpha hydroxytetrahydro-11-Dehydrocorticosterone/Creatinine:MRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP36796-8	6-Alpha hydroxytetrahydro-11-Deoxycortisol	COMPONENT	44864-7	6-Alpha hydroxytetrahydro-11-Deoxycortisol/Creatinine:MRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP18380-3	6-Beta-Hydroxycortisol	COMPONENT	95580-7	6-Beta-Hydroxycortisol:Zscore:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP18380-3	6-Beta-Hydroxycortisol	COMPONENT	13611-9	6-Beta-Hydroxycortisol:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP230219-0	11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone	COMPONENT	82849-1	11-Dehydrocorticosterone+tetrahydrocorticosterone+Allo-tetrahydrocorticosterone/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol:SRto:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP230219-0	11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone	COMPONENT	82848-3	11-Dehydrocorticosterone+tetrahydrocorticosterone+Allo-tetrahydrocorticosterone/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol:SRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP230219-0	11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone	COMPONENT	82847-5	11-Dehydrocorticosterone+tetrahydrocorticosterone+Allo-tetrahydrocorticosterone/Androsterone+etiocholanolone:SRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP230219-0	11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone	COMPONENT	82846-7	11-Dehydrocorticosterone+tetrahydrocorticosterone+Allo-tetrahydrocorticosterone/Androsterone+etiocholanolone:SRto:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP172794-2	11-Dehydrotetrahydrocorticosterone	COMPONENT	81797-3	11-Dehydrotetrahydrocorticosterone/Creatinine:SRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP172794-2	11-Dehydrotetrahydrocorticosterone	COMPONENT	73840-1	11-Dehydrotetrahydrocorticosterone:SRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP172794-2	11-Dehydrotetrahydrocorticosterone	COMPONENT	73839-3	11-Dehydrotetrahydrocorticosterone:SCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP172794-2	11-Dehydrotetrahydrocorticosterone	COMPONENT	73838-5	11-Dehydrotetrahydrocorticosterone:SCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15251-9	11-Deoxycorticosteroids	COMPONENT	16293-3	11-Deoxycorticosteroids:MCnc:Pt:Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15283-2	11-Deoxycorticosterone	COMPONENT	55808-0	11-Deoxycorticosterone:SRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15283-2	11-Deoxycorticosterone	COMPONENT	53348-9	11-Deoxycorticosterone:SCnc:Pt:Bld.dot:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15283-2	11-Deoxycorticosterone	COMPONENT	53347-1	11-Deoxycorticosterone:MCnc:Pt:Bld.dot:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15283-2	11-Deoxycorticosterone	COMPONENT	42855-7	11-Deoxycorticosterone:MCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15283-2	11-Deoxycorticosterone	COMPONENT	40818-7	11-Deoxycorticosterone:SCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15283-2	11-Deoxycorticosterone	COMPONENT	40811-2	11-Deoxycorticosterone:PrThr:Pt:Ser/Plas:Ord:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15283-2	11-Deoxycorticosterone	COMPONENT	25561-2	11-Deoxycorticosterone:SCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15283-2	11-Deoxycorticosterone	COMPONENT	1656-8	11-Deoxycorticosterone:MCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15283-2	11-Deoxycorticosterone	COMPONENT	16110-9	11-Deoxycorticosterone:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	45184-9	11-Deoxycortisol/Cortisol:MRto:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	1657-6	11-Deoxycortisol:MCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	14567-2	11-Deoxycortisol:SCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	13872-7	11-Deoxycortisol:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	55809-8	11-Deoxycortisol:MCnc:Pt:Amnio fld:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	93773-0	11-Deoxycortisol:SCnc:Pt:Saliva:Qn:
