ParentPartNumber	ParentPart	ParentPartTypeName	ChildPartNumber	ChildPart	ChildPartName	LoincNumber	LoincFormalName
LP76034-5	{system}	SYSTEM	LP76034-5	{system}	SYSTEM		
LP76034-5	{system}	SYSTEM	LP7593-9	Specimen	SYSTEM		
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	48642-3	Glomerular filtration rate/1.73 sq M.predicted.non black:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (MDRD)
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	48643-1	Glomerular filtration rate/1.73 sq M.predicted.black:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (MDRD)
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	50044-7	Glomerular filtration rate/1.73 sq M.predicted.female:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (MDRD)
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	50210-4	Glomerular filtration rate/1.73 sq M.predicted:ArVRat:Pt:Ser/Plas/Bld:Qn:Cystatin C-based formula
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	50384-7	Glomerular filtration rate/1.73 sq M.predicted:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (Schwartz)
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	74774-1	Glucose:MCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	76399-5	Troponin I.cardiac:PrThr:Pt:Ser/Plas/Bld:Ord:IA.rapid
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	81637-1	Glucose meter to reference method correlation:Ratio:Pt:Ser/Plas/Bld:Qn:Calculated
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77135-2	Glucose:SCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77136-0	Urea:SCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77137-8	Bilirubin:SCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77138-6	Chloride:SCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77139-4	Sodium:SCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77140-2	Creatinine:SCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77141-0	Alkaline phosphatase:CCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77142-8	Potassium:SCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77143-6	Carbon dioxide:SCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77144-4	Alanine aminotransferase:CCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77145-1	Glucose^post CFst:SCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77146-9	Amylase:CCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77147-7	Glomerular filtration rate/1.73 sq M.predicted:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (MDRD)
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77148-5	Albumin:MCnc:Pt:Ser/Plas/Bld:Qn:BCP
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	77341-6	Anion gap 4:SCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	69405-9	Glomerular filtration rate/1.73 sq M.predicted:ArVRat:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	70969-1	Glomerular filtration rate/1.73 sq M.predicted.male:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (MDRD)
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	62238-1	Glomerular filtration rate/1.73 sq M.predicted:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (CKD-EPI)
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	2722-7	Pantothenate:MCnc:Pt:Ser/Plas/Bld:Qn:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	27351-6	Pantothenate:PrThr:Pt:Ser/Plas/Bld:Ord:
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	94677-2	Glomerular filtration rate/1.73 sq M.predicted:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine and Cystatin C-based formula (CKD-EPI)
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	94554-3	Soluble CD14 subtype:MCnc:Pt:Ser/Plas/Bld:Qn:IA
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	98979-8	Glomerular filtration rate/1.73 sq M.predicted:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (CKD-EPI 2021)
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	98980-6	Glomerular filtration rate/1.73 sq M.predicted:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine and Cystatin C-based formula (CKD-EPI 2021)
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	88888-3	Pancreatic stone protein:MCnc:Pt:Ser/Plas/Bld:Qn:IA.rapid
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	88293-6	Glomerular filtration rate/1.73 sq M.predicted.black:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (CKD-EPI)
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM	88294-4	Glomerular filtration rate/1.73 sq M.predicted.non black:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (CKD-EPI)
LP7593-9	Specimen	SYSTEM	LP7579-8	Ser/Plas/Bld	SYSTEM		
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	53857-9	Hemoglobin F:MCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	53819-9	Thiopurine methyltransferase:CCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	53833-0	Myoglobin:MCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	53642-5	Glutathione.reduced/glutathione.oxidized:SRto:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	53647-4	Flavin adenine dinucleotide:MCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	53648-2	Flavin mononucleotide:MCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	53553-4	Estimated average glucose:SCnc:Pt:Bld:Qn:Estimated from glycated hemoglobin
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	53416-4	Alpha naphthylesterase:CCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	50339-1	Cholesterol:MCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	50756-6	Creatine kinase:MCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	50757-4	Creatine kinase.total/Creatine kinase.MB:CRto:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	50863-0	Hydrogen ion:SCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	53061-8	Ketones:SCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	49484-9	Phenylalanine:PrThr:Pt:Bld:Ord:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	49551-5	Creatine kinase.MB:MCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	49502-8	Glucose-6-Phosphate dehydrogenase:EntCat:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	49765-1	Calcium:MCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	49701-6	pH^^adjusted to patient's actual temperature:LsCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	49115-9	Thiamine.free:MCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	49253-8	Beta-N-acetylhexosaminidase A & B:Imp:Pt:Bld:Nar:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	50099-1	Beta hydroxybutyrate/Acetoacetate:SRto:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	49936-8	Calcium.ionized/Calcium.total^^corrected for albumin:MFr:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	48425-3	Troponin T.cardiac:MCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	48426-1	Troponin T.cardiac:PrThr:Pt:Bld:Ord:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	48619-1	Apolipoprotein E1:PrThr:Pt:Bld:Ord:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	48311-5	Lysosomal enzymes screen:Prid:Pt:Bld:Nom:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	43715-2	Acylcarnitine:PrThr:Pt:Bld:Ord:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	44037-0	Glucosylceramidase:PrThr:Pt:Bld:Ord:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	44052-9	Phosphofructokinase:CCnt:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	44055-2	Pyrimidine-5'-Nucleotidase:CCnt:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	44830-8	Phosphorylase:CCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	44832-4	Glycogen synthase I/Glycogen synthase.total:CFr:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	44835-7	Acid phosphatase.tartrate resistant:PrThr:Pt:Bld:Ord:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	44734-2	Urea nitrogen/Creatinine:MRto:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	44375-4	Homocysteine:PrThr:Pt:Bld:Ord:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	47596-2	Calcium.ionized:SCnc:Pt:Bld:Qn:ISE
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	47597-0	Calcium^^corrected for total protein:SCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	47598-8	Calcium.ionized^^adjusted to pH 7.4:SCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	45328-2	Glutathione peroxidase:CCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	45333-2	Superoxide dismutase:CCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	4548-4	Hemoglobin A1c/Hemoglobin.total:MFr:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	4549-2	Hemoglobin A1c/Hemoglobin.total:MFr:Pt:Bld:Qn:Electrophoresis
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	4683-9	Sulfhemoglobin:MCnc:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	4684-7	Sulfhemoglobin:PrThr:Pt:Bld:Ord:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	4685-4	Sulfhemoglobin/Hemoglobin.total:MFr:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	34609-8	Transketolase:CCnt:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	34438-2	Apolipoprotein E phenotype:Prid:Pt:Bld:Nom:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	35135-3	Adenosine triphosphate/Adenosine diphosphate:MRto:Pt:Bld:Qn:
LP7579-8	Ser/Plas/Bld	SYSTEM	LP7057-5	Bld	SYSTEM	34705-4	Carbon dioxide^^adjusted to patient's actual temperature:PPres:Pt:Bld:Qn:
