PartNumber	PartTypeName	PartName
LP101394-7	ADJUSTMENT	adjusted for maternal weight
LP101907-6	ADJUSTMENT	corrected for age
LP115711-6	ADJUSTMENT	corrected for background
LP147359-6	ADJUSTMENT	adjusted for body weight
LP173482-3	ADJUSTMENT	1st specimen
LP173483-1	ADJUSTMENT	post cyanocobalamin
LP190769-2	ADJUSTMENT	adjusted for lean body mass+urine creatinine
LP20174-6	ADJUSTMENT	adjusted
LP20187-8	ADJUSTMENT	unadjusted
LP20440-1	ADJUSTMENT	corrected for nucleated erythrocytes
LP20441-9	ADJUSTMENT	hematocrit adjusted
LP20595-2	ADJUSTMENT	corrected for total protein
LP20603-4	ADJUSTMENT	adjusted to pH 7.4
LP20606-7	ADJUSTMENT	saturation adjusted to 0.5
LP20607-5	ADJUSTMENT	standard
LP20608-3	ADJUSTMENT	adjusted to patient's actual temperature
LP20617-4	ADJUSTMENT	adjusted for sex hormone binding globulin
LP208932-6	ADJUSTMENT	adjusted for age+sex+race+BMI
LP241992-9	ADJUSTMENT	adjusted for age
LP242679-1	ADJUSTMENT	adjusted for age+sex+race+ethnicity+educational attainment
LP29645-6	ADJUSTMENT	corrected for albumin
LP310257-3	ADJUSTMENT	standardized per IFCC-RMP for CDT
LP36655-6	ADJUSTMENT	adjusted for diabetes+weight
LP36656-4	ADJUSTMENT	adjusted for weight
LP36657-2	ADJUSTMENT	adjusted for diabetes
LP418256-6	ADJUSTMENT	corrected for glycerol
LP421238-9	ADJUSTMENT	corrected for ambient CO
LP426374-7	ADJUSTMENT	at end expiration+W sub-maximal exercise
LP426574-2	ADJUSTMENT	normalized
LP65567-7	ADJUSTMENT	adjusted for multiple gestations
LP66337-4	ADJUSTMENT	corrected for glucose
LP71889-7	ADJUSTMENT	adjusted for hemoglobin
LP71890-5	ADJUSTMENT	adjusted to body conditions
LP71891-3	ADJUSTMENT	uncorrected for compressible gas volume setting
LP71892-1	ADJUSTMENT	corrected for compressible gas volume
LP94499-8	ADJUSTMENT	uncorrected for compressible gas volume
LP97015-9	ADJUSTMENT	adjusted to specific gravity 1.024
LP99753-3	ADJUSTMENT	corrected for heart rate
LP100005-0	CHALLENGE	post 6 mg dexamethasone PO overnight
LP100697-4	CHALLENGE	7 AM specimen
LP101161-0	CHALLENGE	2.75H post dose lactose PO
LP101162-8	CHALLENGE	2.25H post dose lactose PO
LP101163-6	CHALLENGE	1.75H post dose lactose PO
LP101164-4	CHALLENGE	1.25H post dose lactose PO
LP101880-5	CHALLENGE	during expiration
LP101881-3	CHALLENGE	during inspiration
LP101943-1	CHALLENGE	at end expiration
LP111141-0	CHALLENGE	Breath
LP111513-0	CHALLENGE	8th specimen post CFst
LP111514-8	CHALLENGE	9th specimen post CFst
LP111515-5	CHALLENGE	10th specimen post CFst
LP115673-8	CHALLENGE	end of expiration
LP121112-9	CHALLENGE	W methacholine inhaled
LP128681-6	CHALLENGE	afternoon specimen
LP129061-0	CHALLENGE	30M post maximum clot amplitude
LP129068-5	CHALLENGE	30M after maximum clot amplitude after addition of heparinase
LP129071-9	CHALLENGE	60M post maximum clot amplitude
LP133229-7	CHALLENGE	beginning of call
LP133232-1	CHALLENGE	end of call
LP133413-7	CHALLENGE	after addition of normal plasma 2H post incubation separate tubes
LP135214-7	CHALLENGE	patient arrival
LP135215-4	CHALLENGE	patient destination
LP135483-8	CHALLENGE	at delivery
LP135595-9	CHALLENGE	90M post exercise
LP135596-7	CHALLENGE	110M post exercise
LP135597-5	CHALLENGE	130M post exercise
LP135600-7	CHALLENGE	15M post exercise
LP135804-5	CHALLENGE	WO & W contrast
LP136078-5	CHALLENGE	developmental joint assessment
LP136176-7	CHALLENGE	20M post excision
LP136290-6	CHALLENGE	after maximum clot amplitude
LP136303-7	CHALLENGE	at dispatch
LP140231-4	CHALLENGE	premenopausal
LP140232-2	CHALLENGE	postmenopausal
LP140677-8	CHALLENGE	post 25 mg/mL methacholine
LP145288-9	CHALLENGE	12H post dose ifosfamide
LP145289-7	CHALLENGE	post dose ifosfamide
LP145290-5	CHALLENGE	7D post dose ifosfamide
LP145541-1	CHALLENGE	20M post dose lactose PO
LP145542-9	CHALLENGE	40M post dose lactose PO
LP145592-4	CHALLENGE	post dialysis/pre dialysis
LP150046-3	CHALLENGE	at peritoneal dialysis adequacy measurement
LP156504-5	CHALLENGE	PM trough specimen
LP156505-2	CHALLENGE	AM peak specimen
LP157148-0	CHALLENGE	pre contrast
LP157347-8	CHALLENGE	post dose HCG
LP157348-6	CHALLENGE	pre dose HCG
LP157517-6	CHALLENGE	W contrast IV+W air contrast PR
LP157794-1	CHALLENGE	post ejaculate
LP172879-1	CHALLENGE	pre dialysis-post dialysis
LP173487-2	CHALLENGE	2nd specimen/Streptococcus pneumoniae 12f Ab
LP173488-0	CHALLENGE	post amniocentesis
