ParentPartNumber	ParentPart	ParentPartTypeName	ChildPartNumber	ChildPart	ChildPartName	LoincNumber	LoincFormalName
LP432811-0	{method}	METHOD	LP432811-0	{method}	METHOD		
LP432811-0	{method}	METHOD	LP31943-1	Cardiac study methods	METHOD		
LP31943-1	Cardiac study methods	METHOD	LP344936-2	Calculated.CardioIQ	METHOD	92845-7	Insulin resistance score:Score:Pt:Ser:Qn:Calculated.CardioIQ
LP432811-0	{method}	METHOD	LP31675-9	Laboratory	METHOD		
LP31675-9	Laboratory	METHOD	LP31953-0	Chemistry methods	METHOD		
LP31953-0	Chemistry methods	METHOD	LP189606-9	1-14C-glutamate substrate	METHOD	76618-8	Mitochondrial respiratory chain enzymes:CCnt:Pt:Fibroblasts:Qn:1-14C-glutamate substrate
LP31953-0	Chemistry methods	METHOD	LP189607-7	1-14C-leucine substrate	METHOD	76620-4	Mitochondrial respiratory chain enzymes:CCnt:Pt:Fibroblasts:Qn:1-14C-leucine substrate
LP31953-0	Chemistry methods	METHOD	LP189603-6	1-14C-pyruvate substrate	METHOD	76616-2	Mitochondrial respiratory chain enzymes:CCnt:Pt:Fibroblasts:Qn:1-14C-pyruvate substrate
LP31953-0	Chemistry methods	METHOD	LP189608-5	"2,3-14C-succinate substrate"	METHOD	76619-6	"Mitochondrial respiratory chain enzymes:CCnt:Pt:Fibroblasts:Qn:2,3-14C-succinate substrate"
LP31953-0	Chemistry methods	METHOD	LP189604-4	2-14C-pyruvate substrate	METHOD	76617-0	Mitochondrial respiratory chain enzymes:CCnt:Pt:Fibroblasts:Qn:2-14C-pyruvate substrate
LP31953-0	Chemistry methods	METHOD	LP189528-5	4-MU-oleate substrate	METHOD	76614-7	Lysosomal acid lipase:CCnt:Pt:Fibroblasts:Qn:4-MU-oleate substrate
LP31953-0	Chemistry methods	METHOD	LP189527-7	4-MU-palmitate substrate	METHOD	76615-4	Lysosomal acid lipase:CCnt:Pt:Fibroblasts:Qn:4-MU-palmitate substrate
LP31953-0	Chemistry methods	METHOD	LP189527-7	4-MU-palmitate substrate	METHOD	82883-0	Lysosomal acid lipase:CCnt:Pt:WBC:Qn:4-MU-palmitate substrate
