# curie_map:
#   linkml: https://w3id.org/linkml/
#   sempav: https://w3id.org/sempav
#   loinc: https://loinc.org/ 
#   CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	object_label	mapping_justification
loinc:LP100038-1	skos:exactMatch	CHEBI:33216	bisphenol A	sempav:HumanCuration
loinc:LP100039-9	skos:exactMatch	CHEBI:65173	iloperidone	sempav:HumanCuration
loinc:LP100040-7	skos:exactMatch	CHEBI:6432	levamisole	sempav:HumanCuration
loinc:LP100041-5	skos:exactMatch	CHEBI:135939	lacosamide	sempav:HumanCuration
loinc:LP100042-3	skos:exactMatch	CHEBI:291342	desloratadine	sempav:HumanCuration
loinc:LP100043-1	skos:exactMatch	CHEBI:64312	memantine	sempav:HumanCuration
loinc:LP100044-9	skos:exactMatch	CHEBI:6797	Metaxalone	sempav:HumanCuration
loinc:LP100045-6	skos:exactMatch	CHEBI:135005	milnacipran	sempav:HumanCuration
loinc:LP100047-2	skos:exactMatch	CHEBI:109549	N-[2-[(8S)-2,6,7,8-tetrahydro-1H-cyclopenta[e]benzofuran-8-yl]ethyl]propanamide	sempav:HumanCuration
loinc:LP100048-0	skos:exactMatch	CHEBI:134966	rufinamide	sempav:HumanCuration
loinc:LP100049-8	skos:exactMatch	CHEBI:67900	salvinorin A	sempav:HumanCuration
loinc:LP100053-0	skos:exactMatch	CHEBI:9137	sibutramine	sempav:HumanCuration
loinc:LP100054-8	skos:exactMatch	CHEBI:94435	1-(1,3-benzodioxol-5-yl)-4,4-dimethyl-1-penten-3-ol	sempav:HumanCuration
loinc:LP100055-5	skos:exactMatch	CHEBI:71940	tadalafil	sempav:HumanCuration
loinc:LP100056-3	skos:exactMatch	CHEBI:80555	4-Hydroxy-N-desmethyltamoxifen	sempav:HumanCuration
loinc:LP100057-1	skos:exactMatch	CHEBI:44616	afimoxifene	sempav:HumanCuration
loinc:LP100058-9	skos:exactMatch	CHEBI:80554	N-Desmethyltamoxifen	sempav:HumanCuration
loinc:LP100060-5	skos:exactMatch	CHEBI:46295	vardenafil	sempav:HumanCuration
loinc:LP100176-9	skos:exactMatch	CHEBI:19680	2-methylacetoacetate	sempav:HumanCuration
loinc:LP100184-3	skos:exactMatch	CHEBI:28017	starch	sempav:HumanCuration
loinc:LP100617-2	skos:exactMatch	CHEBI:17045	dinitrogen oxide	sempav:HumanCuration
loinc:LP101032-3	skos:exactMatch	CHEBI:36740	alpha-pinene	sempav:HumanCuration
loinc:LP101033-1	skos:exactMatch	CHEBI:5050	fexofenadine	sempav:HumanCuration
loinc:LP101034-9	skos:exactMatch	CHEBI:5062	finasteride	sempav:HumanCuration
loinc:LP101036-4	skos:exactMatch	CHEBI:45863	paclitaxel	sempav:HumanCuration
loinc:LP101037-2	skos:exactMatch	CHEBI:7930	Pargyline	sempav:HumanCuration
loinc:LP101038-0	skos:exactMatch	CHEBI:7956	penciclovir	sempav:HumanCuration
