group_num	property	value	terms
1	METHOD_TYP-supplementary	LP6617-7	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
1	PROPERTY-supplementary	LP6813-2	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
1	SCALE_TYP-supplementary	LP32888-7	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
1	analyte-core	LP33405-9	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
1	category	LP6572-4	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
1	category	LP7787-7	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
1	class_	LP29684-5	100349-0|103902-3|103905-6|103906-4|103919-7|103920-5|103926-2|106314-8|24534-0|24733-8|24870-8|30880-9|30881-7|30882-5|39031-0|39039-3|39042-7|39418-9|39419-7|39420-5|39421-3|39422-1|39423-9|39425-4|39426-2|39427-0|39428-8|39429-6|39431-2|39432-0|39433-8|39434-6|39435-3|39437-9|39439-5|39440-3|39442-9|39443-7|39444-5|39445-2|39446-0|39447-8|39448-6|39449-4|39495-7|39496-5|39497-3|39498-1|39499-9|39500-4|39501-2|39503-8|39504-6|39505-3|39506-1|39507-9|39523-6|39525-1|42146-1|42147-9|43765-7|43771-5|44174-1|44175-8|44235-0|46362-0|46379-4|46382-8|46388-5|48742-1|69283-0|69284-8|69398-6|80857-6|80859-2|80874-1|80896-4|93241-8|93604-7|94681-4|98286-8|98287-6|98288-4|98289-2|98290-0|98291-8|98292-6|98293-4
2	METHOD_TYP-supplementary	LP208655-3	100369-8|30695-1
2	PROPERTY-supplementary	LP6813-2	100369-8|30695-1
2	SCALE_TYP-supplementary	LP32888-7	100369-8|30695-1
