group_num	term	label
1	100349-0	LT US.doppler Penis vessels W vasodilator IV
1	103902-3	LT US.doppler Abdomen and Pelvis
1	103905-6	LT US.doppler Renal vessels - left
1	103906-4	LT US.doppler Renal vessels - right
1	103919-7	LT US.doppler Abdominal Aorta
1	103920-5	LT US.doppler Thoracic and Abdominal Aorta and Inferior Vena Cava
1	103926-2	LT US.doppler Vein - bilateral
1	106314-8	LT US.doppler Lower extremity veins - bilateral
1	24534-0	LT US.doppler Abdominal vessels
1	24733-8	LT US.doppler Head vessels
1	24870-8	LT US.doppler Pelvis vessels
1	30880-9	LT US.doppler Head vessels and Neck vessels
1	30881-7	LT US.doppler Lower extremity vein
1	30882-5	LT US.doppler Upper extremity vein
1	39031-0	LT US.doppler Extremity artery - bilateral
1	39039-3	LT US.doppler Brachiocephalic artery
1	39042-7	LT US.doppler Extremity artery
1	39418-9	LT US.doppler Extremity vein - bilateral
1	39419-7	LT US.doppler Renal vessels - bilateral
1	39420-5	LT US.doppler Lower extremity vein - bilateral
1	39421-3	LT US.doppler Lower extremity artery - bilateral
1	39422-1	LT US.doppler Lower extremity vessels - bilateral
1	39423-9	LT US.doppler Upper extremity artery - bilateral
1	39425-4	LT US.doppler Iliac artery
1	39426-2	LT US.doppler Renal vessels
1	39427-0	LT US.doppler Carotid arteries - left
1	39428-8	LT US.doppler Extremity artery - left
1	39429-6	LT US.doppler Extremity vein - left
1	39431-2	LT US.doppler Lower extremity vessels - left
1	39432-0	LT US.doppler Lower extremity vein - left
1	39433-8	LT US.doppler Upper extremity vessels - left
1	39434-6	LT US.doppler Lower extremity artery
1	39435-3	LT US.doppler Renal artery
1	39437-9	LT US.doppler Carotid arteries -right
1	39439-5	LT US.doppler Extremity artery - right
1	39440-3	LT US.doppler Extremity vein - right
1	39442-9	LT US.doppler Lower extremity vessels - right
1	39443-7	LT US.doppler Lower extremity vein - right
1	39444-5	LT US.doppler Upper extremity vessels - right
1	39445-2	LT US.doppler Vessels
1	39446-0	LT US.doppler Testicular vessels
1	39447-8	LT US.doppler Upper extremity artery
1	39448-6	LT US.doppler Upper extremity vessels
