ParentPartNumber	ParentPart	ParentPartTypeName	ChildPartNumber	ChildPart	ChildPartName	LoincNumber	LoincFormalName
LP432810-2	{property}	PROPERTY	LP432810-2	{property}	PROPERTY		
LP432810-2	{property}	PROPERTY	LP33107-1	Arbitrary Properties	PROPERTY		
LP33107-1	Arbitrary Properties	PROPERTY	LP6781-1	Arb	PROPERTY	98129-0	Thymol turbidity test:Arb:Pt:Bld:Qn:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	10334-1	Cancer Ag 125:ACnc:Pt:Ser/Plas:Qn:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	10501-5	Lutropin:ACnc:Pt:Ser/Plas:Qn:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	10560-1	Carcinoembryonic Ag:ACnc:Pt:Semen:Qn:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	10565-0	Choriogonadotropin:ACnc:Pt:Semen:Qn:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	11210-2	Cancer Ag 125:ACnc:Pt:Body fld:Qn:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	11214-4	Creatinine:ACnc:Pt:Urine:Ord:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	99382-4	Cancer Ag 50:ACnc:Pt:Body fld:Qn:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	99388-1	Choriogonadotropin.tumor marker:ACnc:Pt:Asp:Qn:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	99389-9	Choriogonadotropin.tumor marker:ACnc:Pt:Plr fld:Qn:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	97749-6	Cancer Ag 15-3:ACnc:Pt:Asp:Qn:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	97750-4	Cancer Ag 19-9:ACnc:Pt:Asp:Qn:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	98987-1	C reactive protein:ACnc:Pt:Body fld:Qn:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	99101-8	Cancer Ag 242:ACnc:Pt:Ser/Plas:Qn:
LP33107-1	Arbitrary Properties	PROPERTY	LP6773-8	ACnc	PROPERTY	99102-6	Gastrin releasing polypeptide:ACnc:Pt:Ser/Plas:Qn:
