	child	parent
0	LP100008-4	LP14536-4
1	LP100018-3	LP31406-9
2	LP100028-2	LP31953-0
3	LP100175-1	LP31727-8
4	LP100176-9	LP31415-0
5	LP100184-3	LP31410-1
6	LP100320-3	LP343631-0
7	LP100323-7	LP33102-2
8	LP100478-9	LP30570-3
9	LP100589-3	LP7824-8
10	LP100774-1	LP14355-9
11	LP100837-6	LP35960-1
12	LP100837-6	LP203648-3
13	LP101031-5	LP7824-8
14	LP101172-7	LP28735-6
15	LP101173-5	LP101266-7
16	LP101192-5	LP101190-9
17	LP101306-1	LP31392-1
18	LP101460-6	LP14488-8
19	LP101481-2	LP17650-0
20	LP101503-3	LP18957-8
21	LP101811-0	LP7238-1
22	LP102323-5	LP31953-0
23	LP102324-3	LP31953-0
24	LP102369-8	LP19851-2
25	LP104997-4	LP14651-1
26	LP104998-2	LP14329-4
27	LP105134-3	LP31953-0
28	LP105135-0	LP15711-2
29	LP111163-4	LP31696-5
30	LP111164-2	LP31696-5
31	LP111174-1	LP56740-1
32	LP111176-6	LP111174-1
33	LP111178-2	LP113911-4
34	LP111180-8	LP113917-1
35	LP111182-4	LP113916-3
36	LP111251-7	LP111254-1
37	LP111253-3	LP113910-6
38	LP111254-1	LP56740-1
39	LP111255-8	LP111254-1
40	LP111376-2	LP111381-2
41	LP111378-8	LP57369-8
42	LP111382-0	LP111381-2
43	LP111383-8	LP111381-2
44	LP111385-3	LP111381-2
45	LP111386-1	LP14738-6
46	LP111387-9	LP111381-2
47	LP111394-5	LP111381-2
48	LP111395-2	LP111381-2
49	LP111396-0	LP111381-2
50	LP111462-0	LP31953-0
51	LP111480-2	LP111376-2
52	LP111482-8	LP7824-8
53	LP111484-4	LP31418-4
54	LP113318-2	LP70194-3
55	LP113344-8	LP193288-0
56	LP113712-6	LP113909-8
57	LP113909-8	LP111174-1
58	LP113910-6	LP111174-1
59	LP113911-4	LP31406-9
60	LP113911-4	LP111174-1
61	LP113916-3	LP31406-9
62	LP113916-3	LP111174-1
63	LP113917-1	LP111174-1
64	LP113962-7	LP31771-6
65	LP113963-5	LP31405-1
66	LP113965-0	LP33103-0
67	LP115358-6	LP95534-1
68	LP115710-8	LP101173-5
69	LP116657-0	LP135292-3
70	LP116658-8	LP135292-3
71	LP116659-6	LP135292-3
72	LP116660-4	LP135292-3
73	LP116663-8	LP135292-3
74	LP116664-6	LP135292-3
75	LP116665-3	LP135292-3
76	LP116666-1	LP135292-3
77	LP116667-9	LP135292-3
78	LP116668-7	LP135292-3
79	LP116669-5	LP135292-3
80	LP116670-3	LP135292-3
81	LP116671-1	LP135292-3
82	LP116672-9	LP135292-3
83	LP116673-7	LP135292-3
84	LP116674-5	LP135292-3
85	LP117774-2	LP135292-3
86	LP117775-9	LP135292-3
87	LP121196-2	LP121197-0
88	LP128556-0	LP15492-9
89	LP129054-5	LP97107-4
90	LP129055-2	LP97107-4
91	LP129056-0	LP97107-4
92	LP129057-8	LP97107-4
93	LP129058-6	LP97107-4
94	LP129059-4	LP97107-4
95	LP129060-2	LP97107-4
96	LP129552-8	LP6118-6
97	LP129554-4	LP6118-6
98	LP129555-1	LP33555-1
99	LP129629-4	LP7825-5
100	LP133415-2	LP135291-5
101	LP133642-1	LP15318-6
102	LP133649-6	LP15318-6
103	LP133650-4	LP15318-6
104	LP133881-5	LP33105-5
105	LP133882-3	LP33103-0
106	LP133973-0	LP31418-4
107	LP134393-0	LP135291-5
108	LP134394-8	LP135291-5
109	LP135291-5	LP31412-7
110	LP136073-6	LP192128-9
111	LP136293-0	LP182268-5
112	LP136501-6	LP31953-0
113	LP14012-6	LP31406-9
114	LP14013-4	LP14748-5
115	LP14014-2	LP31406-9
116	LP14015-9	LP31406-9
117	LP14016-7	LP31406-9
118	LP14017-5	LP31392-1
119	LP14018-3	LP31392-1
120	LP14018-3	LP30681-8
121	LP14019-1	LP15448-1
122	LP14020-9	LP31406-9
123	LP14021-7	LP14022-5
124	LP14022-5	LP31406-9
125	LP140221-5	LP15318-6
126	LP14023-3	LP31406-9
127	LP14024-1	LP31406-9
128	LP14025-8	LP31392-1
129	LP14026-6	LP31392-1
130	LP14027-4	LP31406-9
131	LP14028-2	LP31392-1
132	LP14029-0	LP31392-1
133	LP14031-6	LP31406-9
134	LP14032-4	LP31406-9
135	LP14033-2	LP31406-9
136	LP14034-0	LP31406-9
137	LP14035-7	LP31406-9
138	LP14040-7	LP31412-7
139	LP14041-5	LP31663-5
140	LP14045-6	LP31654-4
141	LP14071-2	LP31397-0
142	LP14071-2	LP18221-9
143	LP14161-1	LP31653-6
144	LP14161-1	LP234174-3
145	LP14270-0	LP31398-8
146	LP14270-0	LP40317-7
147	LP14283-3	LP31434-1
148	LP14288-2	LP31398-8
149	LP14296-5	LP14022-5
150	LP14299-9	LP31392-1
151	LP14310-4	LP18982-6
152	LP14329-4	LP14651-1
153	LP14331-0	LP268298-9
154	LP14331-0	LP36654-9
155	LP14333-6	LP18033-8
156	LP14334-4	LP31406-9
157	LP14335-1	LP14489-6
158	LP14336-9	LP14489-6
159	LP14337-7	LP17895-1
160	LP14338-5	LP17895-1
161	LP14339-3	LP14913-5
162	LP14340-1	LP14913-5
163	LP14341-9	LP14913-5
164	LP14343-5	LP31413-5
165	LP14345-0	LP14913-5
166	LP14355-9	LP31398-8
167	LP14356-7	LP15665-0
168	LP14369-0	LP17877-9
169	LP14372-4	LP15151-1
170	LP14377-3	LP31653-6
171	LP14383-1	LP14855-8
172	LP14392-2	LP14383-1
173	LP14438-3	LP15516-5
174	LP14449-0	LP30786-5
175	LP14449-0	LP40317-7
176	LP14457-3	LP31412-7
177	LP14458-1	LP14459-9
178	LP14461-5	LP31392-1
179	LP14463-1	LP36663-0
180	LP14467-2	LP15090-1
181	LP14480-5	LP29636-5
182	LP14481-3	LP14913-5
183	LP14482-1	LP15705-4
184	LP14483-9	LP14482-1
185	LP14485-4	LP14914-3
186	LP14487-0	LP31660-1
187	LP14487-0	LP7844-6
188	LP14488-8	LP15705-4
189	LP14489-6	LP14913-5
190	LP14490-4	LP31413-5
191	LP14491-2	LP15624-7
192	LP14492-0	LP31398-8
193	LP14493-8	LP31654-4
194	LP14497-9	LP14661-0
195	LP14499-5	LP31660-1
196	LP14499-5	LP57347-4
197	LP14499-5	LP7844-6
198	LP14509-1	LP14672-7
199	LP14511-7	LP29636-5
200	LP14512-5	LP411705-9
201	LP14513-3	LP29636-5
202	LP14514-1	LP29636-5
203	LP14515-8	LP29636-5
204	LP14516-6	LP29636-5
205	LP14517-4	LP29636-5
206	LP14518-2	LP18033-8
207	LP14519-0	LP29636-5
208	LP14520-8	LP18033-8
209	LP14536-4	LP31400-2
210	LP14536-4	LP7840-4
211	LP14543-0	LP31412-7
212	LP14544-8	LP14651-1
213	LP14545-5	LP31747-6
214	LP14554-7	LP31617-1
215	LP145565-0	LP7789-3
216	LP14559-6	LP7819-8
217	LP145593-2	LP33025-5
218	LP145674-0	LP145691-4
219	LP145733-4	LP31745-0
220	LP145766-4	LP62057-2
221	LP145767-2	LP62057-2
222	LP145768-0	LP62057-2
223	LP145812-6	LP33107-1
224	LP145955-3	LP29325-5
225	LP145976-9	LP19684-7
226	LP145977-7	LP63593-5
227	LP145978-5	LP150162-8
228	LP145979-3	LP19680-5
229	LP145980-1	LP36032-8
230	LP145985-0	LP15275-8
231	LP145987-6	LP15275-8
232	LP145988-4	LP15493-7
233	LP145990-0	LP21033-3
234	LP145992-6	LP15493-7
235	LP145993-4	LP14355-9
236	LP145995-9	LP15838-3
237	LP145996-7	LP14355-9
238	LP145997-5	LP15838-3
239	LP145998-3	LP15493-7
240	LP145999-1	LP15275-8
241	LP14635-4	LP31399-6
242	LP14635-4	LP234174-3
243	LP14635-4	LP65098-3
244	LP14635-4	LP40317-7
245	LP14637-0	LP14676-8
246	LP14638-8	LP31419-2
247	LP14638-8	LP65098-3
248	LP14640-4	LP32866-3
