Depth	LOINC - LoincPart	LOINC - LOINC Categories	LOINC - LOINC Groups	LOINC-SNOMED	CompLOINC-Primary - LoincPart	CompLOINC-Primary - SNOMED-Inspired	CompLOINC-Primary - LoincTerm	CompLOINC-Primary - CompLOINC Groups	CompLOINC-Supplementary - LoincPart	CompLOINC-Supplementary - SNOMED-Inspired	CompLOINC-Supplementary - LoincTerm	CompLOINC-Supplementary - CompLOINC Groups
1	1.0	1.0	1.0	1	1	1	1.0	1.0	1	1	1.0	1.0
2	29739.0	16.0	45.0	10	29590	412	4.0	3.0	29590	412	4.0	3.0
3	3675.0	7130.0	7168.0	67	3930	458	151.0	22193.0	3930	458	151.0	22187.0
4	8406.0	30327.0	30327.0	394	9749	2405	79704.0	100519.0	9749	2405	47446.0	21258.0
5	3735.0	0.0	0.0	815	7139	4823	87670.0	107919.0	7139	4823	36479.0	20788.0
6	11474.0	0.0	0.0	1649	20365	12019	81788.0	102254.0	20365	12019	10617.0	20704.0
7	19887.0	0.0	0.0	2033	32465	20546	78928.0	99103.0	32465	20546	2756.0	20177.0
8	24922.0	0.0	0.0	1955	35857	25564	75088.0	93749.0	35857	25564	991.0	18661.0
9	21787.0	0.0	0.0	1998	33913	27540	68573.0	84096.0	33913	27540	168.0	15523.0
10	12833.0	0.0	0.0	2289	29305	27363	58435.0	70480.0	29305	27363	12.0	12045.0
11	7702.0	0.0	0.0	2632	25875	25470	51133.0	60268.0	25875	25470	1.0	9135.0
12	3634.0	0.0	0.0	2180	22276	22282	43548.0	50284.0	22276	22282	0.0	6736.0
13	1191.0	0.0	0.0	1191	19552	19582	37739.0	42495.0	19552	19582	0.0	4756.0
14	134.0	0.0	0.0	1226	16469	16485	29643.0	32495.0	16469	16485	0.0	2852.0
15	10.0	0.0	0.0	611	13750	13761	22251.0	23701.0	13750	13761	0.0	1450.0
16	0.0	0.0	0.0	630	11245	11255	15446.0	15995.0	11245	11255	0.0	549.0
17	0.0	0.0	0.0	876	9340	9349	9312.0	9483.0	9340	9349	0.0	171.0
18	0.0	0.0	0.0	1506	8222	8230	3900.0	3915.0	8222	8230	0.0	15.0
19	0.0	0.0	0.0	1291	6902	6909	1411.0	1412.0	6902	6909	0.0	1.0
20	0.0	0.0	0.0	701	4885	4891	285.0	285.0	4885	4891	0.0	0.0
21	0.0	0.0	0.0	492	3250	3255	34.0	34.0	3250	3255	0.0	0.0
22	0.0	0.0	0.0	56	1270	1273	2.0	2.0	1270	1273	0.0	0.0
23	0.0	0.0	0.0	9	118	120	0.0	0.0	118	120	0.0	0.0
24	0.0	0.0	0.0	2	27	28	0.0	0.0	27	28	0.0	0.0
25	0.0	0.0	0.0	1	8	8	0.0	0.0	8	8	0.0	0.0
