Depth	LOINC - LOINC Categories	LOINC - LOINC Groups	LOINC-SNOMED	CompLOINC-Primary - CompLOINC Groups	CompLOINC-Primary - LoincTerm	CompLOINC-Supplementary - CompLOINC Groups	CompLOINC-Supplementary - LoincTerm
1	1.0	1.0	1	1.0	1.0	1.0	1.0
2	16.0	45.0	12	3.0	4.0	3.0	4.0
3	7130.0	7168.0	11367	24133.0	88.0	24127.0	88.0
4	30327.0	30327.0	12546	102085.0	80165.0	22304.0	53488.0
5	0.0	0.0	9786	104683.0	84291.0	20786.0	33444.0
6	0.0	0.0	7356	96797.0	76159.0	20681.0	7403.0
7	0.0	0.0	5323	92575.0	72587.0	19990.0	932.0
8	0.0	0.0	3528	86556.0	68584.0	17972.0	130.0
9	0.0	0.0	2945	74026.0	60505.0	13521.0	3.0
10	0.0	0.0	2911	52943.0	44531.0	8412.0	0.0
11	0.0	0.0	2950	34786.0	30055.0	4731.0	0.0
12	0.0	0.0	2362	20512.0	18129.0	2383.0	0.0
13	0.0	0.0	1359	10617.0	9717.0	900.0	0.0
14	0.0	0.0	1383	4725.0	4416.0	309.0	0.0
15	0.0	0.0	697	1858.0	1807.0	51.0	0.0
16	0.0	0.0	693	488.0	488.0	0.0	0.0
17	0.0	0.0	925	72.0	72.0	0.0	0.0
18	0.0	0.0	1550	1.0	1.0	0.0	0.0
19	0.0	0.0	1326	0.0	0.0	0.0	0.0
20	0.0	0.0	716	0.0	0.0	0.0	0.0
21	0.0	0.0	496	0.0	0.0	0.0	0.0
22	0.0	0.0	57	0.0	0.0	0.0	0.0
23	0.0	0.0	9	0.0	0.0	0.0	0.0
24	0.0	0.0	2	0.0	0.0	0.0	0.0
25	0.0	0.0	1	0.0	0.0	0.0	0.0
