Depth	LOINC	LOINC-SNOMED	CompLOINC-Primary	CompLOINC-Supplementary
1	0	1	1.0	1.0
2	0	12	4.0	4.0
3	0	11367	88.0	88.0
4	0	12546	50791.0	53488.0
5	0	9786	37483.0	33444.0
6	0	7356	8431.0	7403.0
7	0	5323	1286.0	932.0
8	0	3528	187.0	130.0
9	0	2945	7.0	3.0
10	0	2911	0.0	0.0
11	0	2950	0.0	0.0
12	0	2362	0.0	0.0
13	0	1359	0.0	0.0
14	0	1383	0.0	0.0
15	0	697	0.0	0.0
16	0	693	0.0	0.0
17	0	925	0.0	0.0
18	0	1550	0.0	0.0
19	0	1326	0.0	0.0
20	0	716	0.0	0.0
21	0	496	0.0	0.0
22	0	57	0.0	0.0
23	0	9	0.0	0.0
24	0	2	0.0	0.0
25	0	1	0.0	0.0
