Depth	LOINC	LOINC-SNOMED	CompLOINC-Primary	CompLOINC-Supplementary
1	3.0	1	3.0	3.0
2	31022.0	12	31269.0	31269.0
3	13639.0	11367	30744.0	30738.0
4	35075.0	12546	107665.0	80988.0
5	2995.0	9786	108799.0	57952.0
6	9792.0	7356	108008.0	39252.0
7	18805.0	5323	113339.0	41684.0
8	23995.0	3528	112272.0	43818.0
9	21244.0	2945	96473.0	35971.0
10	12690.0	2911	66772.0	22241.0
11	7684.0	2950	43202.0	13147.0
12	3634.0	2362	24495.0	6366.0
13	1192.0	1359	11856.0	2139.0
14	134.0	1383	4861.0	445.0
15	10.0	697	1868.0	61.0
16	0.0	693	488.0	0.0
17	0.0	925	72.0	0.0
18	0.0	1550	1.0	0.0
19	0.0	1326	0.0	0.0
20	0.0	716	0.0	0.0
21	0.0	496	0.0	0.0
22	0.0	57	0.0	0.0
23	0.0	9	0.0	0.0
24	0.0	2	0.0	0.0
25	0.0	1	0.0	0.0
