Depth	LOINC	LOINC-SNOMED	CompLOINC-Primary	CompLOINC-Supplementary
1	2.0	1	3	3
2	61.0	10	17	17
3	7168.0	67	22409	22403
4	30327.0	394	101331	69073
5	0.0	815	109235	58044
6	0.0	1649	104091	32920
7	0.0	2033	101076	24904
8	0.0	1955	95687	21590
9	0.0	1998	86113	17708
10	0.0	2289	72782	14359
11	0.0	2632	62977	11845
12	0.0	2180	52640	9092
13	0.0	1191	43809	6070
14	0.0	1226	33786	4143
15	0.0	611	24311	2060
16	0.0	630	16646	1200
17	0.0	876	10378	1066
18	0.0	1506	5434	1534
19	0.0	1291	2715	1304
20	0.0	701	990	705
21	0.0	492	526	492
22	0.0	56	58	56
23	0.0	9	9	9
24	0.0	2	2	2
25	0.0	1	1	1
